ID,G_VRH
mp-10014,23.0
mp-1008733,15.0
mp-1009787,37.0
mp-1014111,11.0
mp-1018647,56.0
mp-1025241,52.0
mp-1029267,123.0
mp-10366,113.0
mp-10601,64.0
mp-1068,35.0
mp-10784,23.0
mp-12120,167.0
mp-20536,72.0
mp-2537,-90.0
mp-2540,125.0
mp-31119,82.0
mp-4595,44.0
mp-4697,31.0
mp-542488,49.0
mp-567279,5.0
mp-6174,50.0
mp-700,14.0
mp-739,91.0
mp-753257,19.0
mp-775001,12.0
mp-7899,36.0
mp-81,15.0
mp-8291,22.0
mp-8414,5.0
mp-862289,11.0
mp-866163,59.0
mp-867346,19.0
mp-962064,1.0
mp-973229,32.0
mp-973614,1.0
mp-980945,7.0
mp-1008785,184.0
mp-1018674,51.0
mp-1025385,57.0
mp-1029655,30.0
mp-1029932,46.0
mp-13660,36.0
mp-137,42.0
mp-14827,64.0
mp-15783,26.0
mp-1786,71.0
mp-19824,55.0
mp-2085,19.0
mp-20956,73.0
mp-29241,33.0
mp-30040,23.0
mp-30177,78.0
mp-31081,76.0
mp-3532,23.0
mp-36052,37.0
mp-4117,50.0
mp-568006,65.0
mp-568319,62.0
mp-568466,53.0
mp-568587,31.0
mp-580357,47.0
mp-5920,51.0
mp-608366,7.0
mp-755450,60.0
mp-7598,90.0
mp-7906,22.0
mp-861932,13.0
mp-861943,55.0
mp-861991,57.0
mp-862,38.0
mp-863679,79.0
mp-865653,115.0
mp-865857,64.0
mp-866064,47.0
mp-867253,40.0
mp-9350,44.0
mp-972119,39.0
mp-972874,1.0
mp-974949,5.0
mp-976943,94.0
mp-983607,30.0
mp-996979,28.0
mp-999558,89.0
mp-1014231,59.0
mp-1017507,18.0
mp-1018136,32.0
mp-1018165,32.0
mp-1018949,10.0
mp-1029656,37.0
mp-10748,25.0
mp-1125,26.0
mp-12781,64.0
mp-15985,71.0
mp-1678,55.0
mp-1797,44.0
mp-19311,7.0
mp-19443,101.0
mp-2068,34.0
mp-22204,79.0
mp-2489,36.0
mp-28150,35.0
mp-30028,99.0
mp-31160,36.0
mp-31502,20.0
mp-3938,86.0
mp-4875,65.0
mp-555293,4.0
mp-567597,15.0
mp-568402,42.0
mp-569886,19.0
mp-571520,61.0
mp-625054,82.0
mp-6939,72.0
mp-7070,77.0
mp-752398,54.0
mp-7752,38.0
mp-8277,34.0
