ID,U
mp-8291,70660.6154272561
mp-13660,55982.63058628207
mp-555874,65422.1195274946
mp-7906,60086.854264300826
mp-8751,48892.16955760661
mp-10748,66148.65502329347
mp-2068,74177.45494293176
mp-7752,39641.1337596804
mp-998603,75682.4405858216
mp-14039,83026.40414454404
mp-23804,150408.87437929472
mp-11659,117668.97763225636
mp-14285,108942.21091155628
mp-4047,82973.09258795987
mp-13056,87947.6501573459
mp-28797,34082.689999573944
mp-28873,46625.427077859895
mp-24424,59649.13549242998
mp-35015,60974.38846869333
mp-487,92193.98689938289
mp-754326,36197.263724049975
mp-29364,106199.0077942781
mp-4651,92203.50246364596
mp-5072,41654.22839544958
mp-7914,36486.37517376847
mp-13903,70418.74535138403
mp-551835,78373.14472354544
mp-866141,34800.90872024029
mp-12535,76458.2856702747
mp-13031,16196.976650270242
mp-2201,15198.939308011775
mp-27546,49039.69566627123
mp-571461,53896.465474260585
mp-9262,78033.92666158253
mp-545544,87194.51791844558
mp-568544,38503.56899936348
mp-9919,47268.84833124113
mp-22951,46582.40604549206
mp-4763,70728.69454825917
mp-760417,53551.32678355421
mp-23004,79099.00834243034
mp-2964,44317.48113002274
mp-588,72098.49465062983
mp-989608,77387.27398285145
mp-10572,92052.574127293
mp-11713,120819.19507834672
mp-4124,50681.20024660239
mp-5518,62686.64995190872
mp-9244,77920.96358785401
mp-9382,35727.92763245826
mp-11123,92183.61153571526
mp-2979,163452.42386722768
mp-30004,52645.00031311786
mp-961648,18350.935456846848
mp-998612,75954.03100005933
mp-15704,101376.52833018493
mp-3970,78140.8154402625
mp-553281,87659.66560136461
mp-27549,60809.32207660368
mp-28554,31125.68609060088
mp-36111,25791.552057589528
mp-7041,35809.725864136155
mp-9321,55581.87918926756
mp-1009792,20226.198982042217
mp-23465,69784.2226339836
mp-27193,45248.816730238505
mp-569028,67976.35039501544
mp-8789,56831.74508981344
mp-8882,33999.91718617286
mp-1008786,15547.73928632804
mp-23956,83855.40022352974
mp-10044,21091.492581413186
mp-12779,30644.866293611354
mp-15556,75416.48623124194
mp-27255,81647.6702117287
mp-28243,64100.90872768545
mp-2853,18307.74743709142
mp-29138,62014.536132763846
mp-5479,54245.25226223025
mp-2064,15478.177634515749
mp-22313,44611.16581339412
mp-697044,137532.15774757392
mp-978852,39641.58782548053
mp-19799,67150.49194954605
mp-570256,53127.96230781302
mp-573697,15167.93489077572
mp-690785,148747.2261646188
mp-997041,75579.55330237282
mp-9636,71174.10718274815
mp-23295,15231.599931429431
mp-558781,117212.16468434152
mp-754117,111603.72723158808
mp-8279,39463.99621552449
mp-9385,46144.49507858115
mp-984761,29985.502332324424
mp-9856,92736.4546885864
mp-1968,43087.51859166165
mp-9317,97168.33032460776
mp-9361,31323.198545587467
mp-9567,39070.30621266004
mp-972937,80691.77797317918
mp-1009820,19874.848055181603
mp-23353,53435.807355721256
mp-3486,45919.6612051797
mp-4782,70287.7091070012
mp-961683,20589.56774965686
mp-999498,58298.85262472312
mp-14006,71506.42913809163
mp-9692,93352.58459385764
mp-989635,101323.95234750812
